idx,arquivo,ref_idx,mse_gray_ref,ssim_gray_ref,ssim_color_ref,mse_gray_prev,ssim_gray_prev,lap_var
231,frame_000334.jpg,18,0.12800054252147675,0.19586509408697192,0.18717330694198608,0.005643323063850403,0.6929212300149399,293.78955580257104
232,frame_000335.jpg,18,0.1307278573513031,0.1529174314571737,0.14268553256988525,0.009126690216362476,0.6284162280114908,346.9343158557111
233,frame_000336.jpg,18,0.12978386878967285,0.159016791448507,0.1482081264257431,0.002093343995511532,0.9011430358974966,308.97661740839965
234,frame_000337.jpg,18,0.13008616864681244,0.166127050886411,0.15802140533924103,0.03353913128376007,0.4048638984975248,385.74722908456465
235,frame_000338.jpg,18,0.1370181441307068,0.12599393664063008,0.12177148461341858,0.029626164585351944,0.3904707664396682,337.15264063831677
236,frame_000339.jpg,18,0.13402165472507477,0.13674606688045152,0.129192516207695,0.018518229946494102,0.4897004831361401,315.28682156858963
237,frame_000340.jpg,18,0.1373327076435089,0.13576791362388455,0.12910902500152588,0.012915654107928276,0.5181691480721338,290.6396877048783
238,frame_000341.jpg,18,0.1331445574760437,0.13433832576679525,0.12818998098373413,0.004658596124500036,0.7466199334110363,321.6365796091677
239,frame_000342.jpg,18,0.1272340565919876,0.1597928205682047,0.15161173045635223,0.014038607478141785,0.6357001054155806,252.70648792900252
240,frame_000343.jpg,18,0.12771819531917572,0.1560491771544448,0.1458878070116043,0.00342701468616724,0.8060707993633334,247.78045135640033
241,frame_000344.jpg,18,0.12627828121185303,0.16898438950872444,0.15874351561069489,0.004922268912196159,0.7099388159134742,236.17398220180783
242,frame_000345.jpg,18,0.12752419710159302,0.15728264941217782,0.15038679540157318,0.011380637064576149,0.6484993080369637,308.53591811241085
243,frame_000347.jpg,18,0.14108723402023315,0.15387925878100298,0.14693088829517365,0.009705017320811749,0.7669152305733931,378.4777046768959
244,frame_000348.jpg,18,0.14883974194526672,0.1301066664667672,0.12412925809621811,0.010620799846947193,0.707377461194779,316.75110671162787
245,frame_000349.jpg,18,0.16074779629707336,0.13274280025950258,0.13104431331157684,0.033932387828826904,0.4708501296597362,320.9148163549974
246,frame_000350.jpg,18,0.17159712314605713,0.13546837365482425,0.13162089884281158,0.07535256445407867,0.40732271929678054,237.81005012242898
247,frame_000351.jpg,18,0.129201278090477,0.16463973664859088,0.1559039205312729,0.04676409065723419,0.5685290471741948,261.1185806647754
248,frame_000352.jpg,18,0.13360875844955444,0.11666640435503156,0.11075839400291443,0.015063655562698841,0.5833370584445317,266.80214989296474
249,frame_000353.jpg,18,0.09926045686006546,0.1543411152478903,0.14528889954090118,0.13747352361679077,0.23440847057496217,801.219341686248
250,frame_000354.jpg,18,0.10013514012098312,0.1894092811766791,0.18228773772716522,0.009952741675078869,0.5639741857777826,849.131078752897
251,frame_000355.jpg,18,0.10987763106822968,0.16773802237204016,0.16140373051166534,0.016238611191511154,0.47562057561300675,1311.2548377866005
252,frame_000356.jpg,18,0.11202693730592728,0.08644286234813088,0.07996207475662231,0.014918151311576366,0.532650464185874,1388.2799749537226
253,frame_000357.jpg,18,0.10726422071456909,0.09406643667975913,0.08844113349914551,0.014797393232584,0.49470092996387655,1545.8512187260162
254,frame_000358.jpg,18,0.1096394956111908,0.1060235998008638,0.09665602445602417,0.015416543930768967,0.5058414167856803,1333.4228267145606
255,frame_000359.jpg,18,0.11132777482271194,0.13507924329503698,0.12749522924423218,0.009421717375516891,0.6499429937346305,1569.7739327973838
